"","GEOID","Tract","County","State","FDep","SDI","ReADI","SVI","NA_ADI","NSS7"
"1","01001020100","Census Tract 201"," Autauga County"," Alabama",55,61,61,37,75,57
"2","01001020200","Census Tract 202"," Autauga County"," Alabama",51,33,57,42,82,48
"3","01001020300","Census Tract 203"," Autauga County"," Alabama",51,57,55,49,74,45
"4","01001020400","Census Tract 204"," Autauga County"," Alabama",36,43,40,25,68,22
"5","01001020501","Census Tract 205.01"," Autauga County"," Alabama",28,33,28,21,62,12
"6","01001020502","Census Tract 205.02"," Autauga County"," Alabama",35,35,37,25,63,23
"7","01001020503","Census Tract 205.03"," Autauga County"," Alabama",25,35,26,18,47,19
"8","01001020600","Census Tract 206"," Autauga County"," Alabama",53,52,60,41,61,48
"9","01001020700","Census Tract 207"," Autauga County"," Alabama",61,68,74,65,81,58
"10","01001020801","Census Tract 208.01"," Autauga County"," Alabama",37,26,37,23,36,30
"11","01001020803","Census Tract 208.03"," Autauga County"," Alabama",60,40,71,51,73,50
"12","01001020804","Census Tract 208.04"," Autauga County"," Alabama",29,16,25,12,41,14
"13","01001020805","Census Tract 208.05"," Autauga County"," Alabama",22,15,28,16,51,29
"14","01001020901","Census Tract 209.01"," Autauga County"," Alabama",41,28,51,31,60,35
"15","01001020902","Census Tract 209.02"," Autauga County"," Alabama",44,27,53,28,64,46
"16","01001021000","Census Tract 210"," Autauga County"," Alabama",86,69,91,57,87,69
"17","01001021100","Census Tract 211"," Autauga County"," Alabama",94,80,97,90,94,81
"18","01003010100","Census Tract 101"," Baldwin County"," Alabama",82,52,79,56,78,59
"19","01003010200","Census Tract 102"," Baldwin County"," Alabama",54,54,70,56,73,54
"20","01003010300","Census Tract 103"," Baldwin County"," Alabama",48,31,54,34,60,27
"21","01003010400","Census Tract 104"," Baldwin County"," Alabama",83,34,74,17,69,44
"22","01003010500","Census Tract 105"," Baldwin County"," Alabama",70,60,71,57,69,58
"23","01003010600","Census Tract 106"," Baldwin County"," Alabama",94,93,99,96,96,95
"24","01003010704","Census Tract 107.04"," Baldwin County"," Alabama",31,41,37,27,58,33
"25","01003010706","Census Tract 107.06"," Baldwin County"," Alabama",21,6,22,12,33,23
"26","01003010707","Census Tract 107.07"," Baldwin County"," Alabama",14,17,20,15,41,10
"27","01003010708","Census Tract 107.08"," Baldwin County"," Alabama",29,33,32,47,42,22
"28","01003010709","Census Tract 107.09"," Baldwin County"," Alabama",8,10,18,18,29,7
